Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:01:49.438000,HAM,44,0 days 00:01:09.510000,20.0,1.0,,,0 days 00:00:17.383000,0 days 00:00:31.171000,0 days 00:00:20.956000,0 days 01:00:57.330000,0 days 01:01:28.501000,0 days 01:01:49.457000,297.0,231.0,276.0,299.0,False,SOFT,23.0,False,Mercedes,0 days 01:00:39.928000,2020-07-05 13:40:40.151,1,4.0,False,,False,True
0 days 01:03:17.940000,HAM,44,0 days 00:01:28.502000,21.0,1.0,,0 days 01:03:14.729000,0 days 00:00:17.525000,0 days 00:00:35.657000,0 days 00:00:35.320000,0 days 01:02:06.982000,0 days 01:02:42.639000,0 days 01:03:17.959000,285.0,113.0,,310.0,False,SOFT,24.0,False,Mercedes,0 days 01:01:49.438000,2020-07-05 13:41:49.661,124,4.0,False,,False,False
0 days 01:05:14.858000,HAM,44,0 days 00:01:56.918000,22.0,2.0,0 days 01:03:36.459000,,0 days 00:00:37.061000,0 days 00:00:44.199000,0 days 00:00:35.658000,0 days 01:03:55.020000,0 days 01:04:39.219000,0 days 01:05:14.877000,203.0,170.0,174.0,230.0,False,HARD,1.0,True,Mercedes,0 days 01:03:17.940000,2020-07-05 13:43:18.163,4,4.0,False,,False,False
0 days 01:07:05.659000,HAM,44,0 days 00:01:50.801000,23.0,2.0,,,0 days 00:00:28.258000,0 days 00:00:46.772000,0 days 00:00:35.771000,0 days 01:05:43.135000,0 days 01:06:29.907000,0 days 01:07:05.678000,129.0,140.0,160.0,232.0,False,HARD,2.0,True,Mercedes,0 days 01:05:14.858000,2020-07-05 13:45:15.081,4,4.0,False,,False,False
0 days 01:09:01.325000,HAM,44,0 days 00:01:55.666000,24.0,2.0,,,0 days 00:00:28.708000,0 days 00:00:50.362000,0 days 00:00:36.596000,0 days 01:07:34.386000,0 days 01:08:24.748000,0 days 01:09:01.344000,110.0,127.0,180.0,178.0,False,HARD,3.0,True,Mercedes,0 days 01:07:05.659000,2020-07-05 13:47:05.882,4,4.0,False,,False,False
0 days 01:10:53.853000,HAM,44,0 days 00:01:52.528000,25.0,2.0,,,0 days 00:00:30.258000,0 days 00:00:53.816000,0 days 00:00:28.454000,0 days 01:09:31.602000,0 days 01:10:25.418000,0 days 01:10:53.872000,104.0,68.0,279.0,108.0,False,HARD,4.0,True,Mercedes,0 days 01:09:01.325000,2020-07-05 13:49:01.548,41,4.0,False,,False,False
0 days 01:12:02.884000,HAM,44,0 days 00:01:09.031000,26.0,2.0,,,0 days 00:00:17.419000,0 days 00:00:30.888000,0 days 00:00:20.724000,0 days 01:11:11.291000,0 days 01:11:42.179000,0 days 01:12:02.903000,303.0,235.0,275.0,299.0,False,HARD,5.0,True,Mercedes,0 days 01:10:53.853000,2020-07-05 13:50:54.076,12,4.0,False,,False,True
0 days 01:13:11.634000,HAM,44,0 days 00:01:08.750000,27.0,2.0,,,0 days 00:00:17.381000,0 days 00:00:30.670000,0 days 00:00:20.699000,0 days 01:12:20.284000,0 days 01:12:50.954000,0 days 01:13:11.653000,288.0,233.0,277.0,291.0,True,HARD,6.0,True,Mercedes,0 days 01:12:02.884000,2020-07-05 13:52:03.107,1,4.0,False,,False,True
0 days 01:14:20.318000,HAM,44,0 days 00:01:08.684000,28.0,2.0,,,0 days 00:00:17.449000,0 days 00:00:30.455000,0 days 00:00:20.780000,0 days 01:13:29.102000,0 days 01:13:59.557000,0 days 01:14:20.337000,,235.0,277.0,291.0,True,HARD,7.0,True,Mercedes,0 days 01:13:11.634000,2020-07-05 13:53:11.857,1,4.0,False,,False,True
0 days 01:15:28.576000,HAM,44,0 days 00:01:08.258000,29.0,2.0,,,0 days 00:00:17.199000,0 days 00:00:30.405000,0 days 00:00:20.654000,0 days 01:14:37.536000,0 days 01:15:07.941000,0 days 01:15:28.595000,293.0,240.0,284.0,294.0,True,HARD,8.0,True,Mercedes,0 days 01:14:20.318000,2020-07-05 13:54:20.541,1,4.0,False,,False,True
0 days 01:16:36.965000,HAM,44,0 days 00:01:08.389000,30.0,2.0,,,0 days 00:00:16.859000,0 days 00:00:30.747000,0 days 00:00:20.783000,0 days 01:15:45.454000,0 days 01:16:16.201000,0 days 01:16:36.984000,314.0,231.0,282.0,308.0,False,HARD,9.0,True,Mercedes,0 days 01:15:28.576000,2020-07-05 13:55:28.799,1,4.0,False,,False,True
0 days 01:17:45.129000,HAM,44,0 days 00:01:08.164000,31.0,2.0,,,0 days 00:00:16.927000,0 days 00:00:30.630000,0 days 00:00:20.607000,0 days 01:16:53.911000,0 days 01:17:24.541000,0 days 01:17:45.148000,312.0,231.0,285.0,310.0,True,HARD,10.0,True,Mercedes,0 days 01:16:36.965000,2020-07-05 13:56:37.188,1,4.0,False,,False,True
0 days 01:18:53.372000,HAM,44,0 days 00:01:08.243000,32.0,2.0,,,0 days 00:00:16.876000,0 days 00:00:30.558000,0 days 00:00:20.809000,0 days 01:18:02.024000,0 days 01:18:32.582000,0 days 01:18:53.391000,314.0,237.0,282.0,311.0,False,HARD,11.0,True,Mercedes,0 days 01:17:45.129000,2020-07-05 13:57:45.352,1,4.0,False,,False,True
