Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:44:06.118000,ALB,23,0 days 00:01:41.410000,6.0,2.0,,,0 days 00:00:27.229000,0 days 00:00:40.740000,0 days 00:00:33.441000,0 days 00:42:51.943000,0 days 00:43:32.683000,0 days 00:44:06.124000,210.0,176.0,201.0,291.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:42:24.708000,2019-11-03 19:22:25.424,1,20.0,True,TRACK LIMITS AT TURN 19,False,True
0 days 00:45:47.899000,ALB,23,0 days 00:01:41.781000,7.0,2.0,,,0 days 00:00:27.536000,0 days 00:00:40.620000,0 days 00:00:33.625000,0 days 00:44:33.660000,0 days 00:45:14.280000,0 days 00:45:47.905000,203.0,173.0,201.0,321.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:44:06.118000,2019-11-03 19:24:06.834,1,19.0,False,,False,True
0 days 00:47:30.936000,ALB,23,0 days 00:01:43.037000,8.0,2.0,,,0 days 00:00:27.788000,0 days 00:00:41.230000,0 days 00:00:34.019000,0 days 00:46:15.693000,0 days 00:46:56.923000,0 days 00:47:30.942000,202.0,172.0,200.0,313.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:45:47.899000,2019-11-03 19:25:48.615,12,17.0,False,,False,True
0 days 00:49:12.766000,ALB,23,0 days 00:01:41.830000,9.0,2.0,,,0 days 00:00:27.369000,0 days 00:00:40.987000,0 days 00:00:33.474000,0 days 00:47:58.311000,0 days 00:48:39.298000,0 days 00:49:12.772000,210.0,176.0,202.0,288.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:47:30.936000,2019-11-03 19:27:31.652,21,17.0,False,,False,True
0 days 00:50:54.773000,ALB,23,0 days 00:01:42.007000,10.0,2.0,,,0 days 00:00:27.398000,0 days 00:00:41.098000,0 days 00:00:33.511000,0 days 00:49:40.170000,0 days 00:50:21.268000,0 days 00:50:54.779000,206.0,176.0,199.0,287.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:49:12.766000,2019-11-03 19:29:13.482,1,16.0,False,,False,True
0 days 00:52:38.842000,ALB,23,0 days 00:01:44.069000,11.0,2.0,,,0 days 00:00:27.612000,0 days 00:00:41.657000,0 days 00:00:34.800000,0 days 00:51:22.391000,0 days 00:52:04.048000,0 days 00:52:38.848000,195.0,179.0,203.0,298.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:50:54.773000,2019-11-03 19:30:55.489,1,16.0,False,,False,True
0 days 00:54:21.443000,ALB,23,0 days 00:01:42.601000,12.0,2.0,,,0 days 00:00:27.686000,0 days 00:00:41.108000,0 days 00:00:33.807000,0 days 00:53:06.534000,0 days 00:53:47.642000,0 days 00:54:21.449000,,176.0,203.0,319.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 00:52:38.842000,2019-11-03 19:32:39.558,1,15.0,False,,False,True
0 days 00:56:04.995000,ALB,23,0 days 00:01:43.552000,13.0,2.0,,,0 days 00:00:27.919000,0 days 00:00:41.063000,0 days 00:00:34.570000,0 days 00:54:49.368000,0 days 00:55:30.431000,0 days 00:56:05.001000,199.0,176.0,203.0,298.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 00:54:21.443000,2019-11-03 19:34:22.159,1,15.0,False,,False,True
0 days 00:57:48.266000,ALB,23,0 days 00:01:43.271000,14.0,2.0,,,0 days 00:00:27.341000,0 days 00:00:40.686000,0 days 00:00:35.244000,0 days 00:56:32.342000,0 days 00:57:13.028000,0 days 00:57:48.272000,206.0,180.0,201.0,308.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 00:56:04.995000,2019-11-03 19:36:05.711,1,14.0,False,,False,True
0 days 00:59:30.031000,ALB,23,0 days 00:01:41.765000,15.0,2.0,,,0 days 00:00:27.301000,0 days 00:00:41.001000,0 days 00:00:33.463000,0 days 00:58:15.573000,0 days 00:58:56.574000,0 days 00:59:30.037000,207.0,177.0,204.0,288.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 00:57:48.266000,2019-11-03 19:37:48.982,1,13.0,False,,False,True
